trialsno;listlength;phase;type;step;updatedPosition;shownLetter;nSubstitutions;nRepetitions;letter0;letter1;letter2;letter3;letter4
4;0;1;updating;0;0;NO;0;0;T;B;C;H;J
4;5;2;recall;1;0;T;0;0;T;B;C;H;J
4;5;2;recall;2;1;B;0;0;T;B;C;H;J
4;5;2;recall;3;2;C;0;0;T;B;C;H;J
4;5;2;recall;4;3;H;0;0;T;B;C;H;J
4;5;2;recall;5;4;J;0;0;T;B;C;H;J
5;5;0;encoding;5;0;NO;0;0;K;G;L;D;B
5;9;1;updating;1;3;T;1;0;K;G;L;T;B
5;9;1;updating;2;0;K;0;1;K;G;L;T;B
5;9;1;updating;3;1;N;1;0;K;N;L;T;B
5;9;1;updating;4;0;W;1;1;W;N;L;T;B
5;9;1;updating;5;3;Z;2;0;W;N;L;Z;B
5;9;1;updating;6;4;B;0;1;W;N;L;Z;B
5;9;1;updating;7;3;Z;2;1;W;N;L;Z;B
5;9;1;updating;8;1;H;2;0;W;H;L;Z;B
5;9;1;updating;9;2;J;1;0;W;H;J;Z;B
5;5;2;recall;1;0;W;1;1;W;H;J;Z;B
5;5;2;recall;2;1;H;2;0;W;H;J;Z;B
5;5;2;recall;3;2;J;1;0;W;H;J;Z;B
5;5;2;recall;4;3;Z;2;1;W;H;J;Z;B
5;5;2;recall;5;4;B;0;1;W;H;J;Z;B
6;5;0;encoding;5;0;NO;0;0;M;D;C;J;P
6;9;1;updating;1;0;R;1;0;R;D;C;J;P
6;9;1;updating;2;1;J;1;0;R;J;C;J;P
6;9;1;updating;3;4;Z;1;0;R;J;C;J;Z
6;9;1;updating;4;0;F;2;0;F;J;C;J;Z
6;9;1;updating;5;3;J;0;1;F;J;C;J;Z
6;9;1;updating;6;0;P;3;0;P;J;C;J;Z
6;9;1;updating;7;2;N;1;0;P;J;N;J;Z
6;9;1;updating;8;1;H;2;0;P;H;N;J;Z
6;9;1;updating;9;4;S;2;0;P;H;N;J;S
6;5;2;recall;1;0;P;3;0;P;H;N;J;S
6;5;2;recall;2;1;H;2;0;P;H;N;J;S
6;5;2;recall;3;2;N;1;0;P;H;N;J;S
6;5;2;recall;4;3;J;0;1;P;H;N;J;S
6;5;2;recall;5;4;S;2;0;P;H;N;J;S
7;5;0;encoding;5;0;NO;0;0;R;M;D;X;P
7;9;1;updating;1;0;Z;1;0;Z;M;D;X;P
7;9;1;updating;2;2;T;1;0;Z;M;T;X;P
7;9;1;updating;3;1;D;1;0;Z;D;T;X;P
7;9;1;updating;4;2;W;2;0;Z;D;W;X;P
7;9;1;updating;5;4;P;0;1;Z;D;W;X;P
7;9;1;updating;6;3;X;0;1;Z;D;W;X;P
7;9;1;updating;7;1;V;2;0;Z;V;W;X;P
7;9;1;updating;8;0;N;2;0;N;V;W;X;P
7;9;1;updating;9;2;B;3;0;N;V;B;X;P
7;5;2;recall;1;0;N;2;0;N;V;B;X;P
7;5;2;recall;2;1;V;2;0;N;V;B;X;P
7;5;2;recall;3;2;B;3;0;N;V;B;X;P
7;5;2;recall;4;3;X;0;1;N;V;B;X;P
7;5;2;recall;5;4;P;0;1;N;V;B;X;P
8;5;0;encoding;5;0;NO;0;0;V;W;J;N;H
8;9;1;updating;1;3;L;1;0;V;W;J;L;H
8;9;1;updating;2;4;T;1;0;V;W;J;L;T
8;9;1;updating;3;2;R;1;0;V;W;R;L;T
8;9;1;updating;4;4;G;2;0;V;W;R;L;G
8;9;1;updating;5;1;W;0;1;V;W;R;L;G
8;9;1;updating;6;2;H;2;0;V;W;H;L;G
8;9;1;updating;7;4;K;3;0;V;W;H;L;K
8;9;1;updating;8;0;S;1;0;S;W;H;L;K
8;9;1;updating;9;2;T;3;0;S;W;T;L;K
8;5;2;recall;1;0;S;1;0;S;W;T;L;K
8;5;2;recall;2;1;W;0;1;S;W;T;L;K
8;5;2;recall;3;2;T;3;0;S;W;T;L;K
8;5;2;recall;4;3;L;1;0;S;W;T;L;K
8;5;2;recall;5;4;K;3;0;S;W;T;L;K
9;5;0;encoding;5;0;NO;0;0;M;K;P;L;R
9;0;1;updating;0;0;NO;0;0;M;K;P;L;R
9;5;2;recall;1;0;M;0;1;M;K;P;L;R
9;5;2;recall;2;1;K;0;0;M;K;P;L;R
9;5;2;recall;3;2;P;0;0;M;K;P;L;R
9;5;2;recall;4;3;L;0;0;M;K;P;L;R
9;5;2;recall;5;4;R;0;0;M;K;P;L;R
10;5;0;encoding;5;0;NO;0;0;D;T;N;V;B
10;9;1;updating;1;1;F;1;0;D;F;N;V;B
10;9;1;updating;2;2;K;1;0;D;F;K;V;B
10;9;1;updating;3;3;G;1;0;D;F;K;G;B
10;9;1;updating;4;4;H;1;0;D;F;K;G;H
10;9;1;updating;5;1;S;2;0;D;S;K;G;H
10;9;1;updating;6;2;P;2;0;D;S;P;G;H
10;9;1;updating;7;1;Z;3;0;D;Z;P;G;H
10;9;1;updating;8;4;H;1;1;D;Z;P;G;H
10;9;1;updating;9;3;C;2;0;D;Z;P;C;H
10;5;2;recall;1;0;D;0;0;D;Z;P;C;H
10;5;2;recall;2;1;Z;3;0;D;Z;P;C;H
10;5;2;recall;3;2;P;2;0;D;Z;P;C;H
10;5;2;recall;4;3;C;2;0;D;Z;P;C;H
10;5;2;recall;5;4;H;1;1;D;Z;P;C;H
11;5;0;encoding;5;0;NO;0;0;G;H;B;J;V
11;9;1;updating;1;4;S;1;0;G;H;B;J;S
11;9;1;updating;2;0;C;1;0;C;H;B;J;S
11;9;1;updating;3;3;J;0;1;C;H;B;J;S
11;9;1;updating;4;0;T;2;0;T;H;B;J;S
11;9;1;updating;5;1;K;1;0;T;K;B;J;S
11;9;1;updating;6;4;C;2;0;T;K;B;J;C
11;9;1;updating;7;0;V;3;0;V;K;B;J;C
11;9;1;updating;8;4;C;2;1;V;K;B;J;C
11;9;1;updating;9;2;D;1;0;V;K;D;J;C
11;5;2;recall;1;0;V;3;0;V;K;D;J;C
11;5;2;recall;2;1;K;1;0;V;K;D;J;C
11;5;2;recall;3;2;D;1;0;V;K;D;J;C
11;5;2;recall;4;3;J;0;1;V;K;D;J;C
11;5;2;recall;5;4;C;2;1;V;K;D;J;C
12;5;0;encoding;5;0;NO;0;0;B;J;T;Q;G
12;9;1;updating;1;3;W;1;0;B;J;T;W;G
12;9;1;updating;2;1;P;1;0;B;P;T;W;G
12;9;1;updating;3;3;L;2;0;B;P;T;L;G
12;9;1;updating;4;4;N;1;0;B;P;T;L;N
12;9;1;updating;5;3;B;3;0;B;P;T;B;N
12;9;1;updating;6;0;K;1;0;K;P;T;B;N
12;9;1;updating;7;1;H;2;0;K;H;T;B;N
12;9;1;updating;8;0;S;2;0;S;H;T;B;N
12;9;1;updating;9;1;R;3;0;S;R;T;B;N
12;5;2;recall;1;0;S;2;0;S;R;T;B;N
12;5;2;recall;2;1;R;3;0;S;R;T;B;N
12;5;2;recall;3;2;T;0;0;S;R;T;B;N
12;5;2;recall;4;3;B;3;0;S;R;T;B;N
12;5;2;recall;5;4;N;1;0;S;R;T;B;N
13;5;0;encoding;5;0;NO;0;0;W;L;S;J;C
13;9;1;updating;1;4;V;1;0;W;L;S;J;V
13;9;1;updating;2;2;Z;1;0;W;L;Z;J;V
13;9;1;updating;3;0;W;0;1;W;L;Z;J;V
13;9;1;updating;4;2;N;2;0;W;L;N;J;V
13;9;1;updating;5;3;H;1;0;W;L;N;H;V
13;9;1;updating;6;2;F;3;0;W;L;F;H;V
13;9;1;updating;7;3;H;1;1;W;L;F;H;V
13;9;1;updating;8;2;F;3;1;W;L;F;H;V
13;9;1;updating;9;1;L;0;1;W;L;F;H;V
13;5;2;recall;1;0;W;0;1;W;L;F;H;V
13;5;2;recall;2;1;L;0;1;W;L;F;H;V
13;5;2;recall;3;2;F;3;1;W;L;F;H;V
13;5;2;recall;4;3;H;1;1;W;L;F;H;V
13;5;2;recall;5;4;V;1;0;W;L;F;H;V
14;5;0;encoding;5;0;NO;0;0;S;P;J;H;Z
14;9;1;updating;1;3;Q;1;0;S;P;J;Q;Z
14;9;1;updating;2;0;F;1;0;F;P;J;Q;Z
14;9;1;updating;3;3;D;2;0;F;P;J;D;Z
14;9;1;updating;4;4;N;1;0;F;P;J;D;N
14;9;1;updating;5;0;X;2;0;X;P;J;D;N
14;9;1;updating;6;4;L;2;0;X;P;J;D;L
14;9;1;updating;7;0;T;3;0;T;P;J;D;L
14;9;1;updating;8;1;F;1;0;T;F;J;D;L
14;9;1;updating;9;4;C;3;0;T;F;J;D;C
14;5;2;recall;1;0;T;3;0;T;F;J;D;C
14;5;2;recall;2;1;F;1;0;T;F;J;D;C
14;5;2;recall;3;2;J;0;0;T;F;J;D;C
14;5;2;recall;4;3;D;2;0;T;F;J;D;C
14;5;2;recall;5;4;C;3;0;T;F;J;D;C
15;5;0;encoding;5;0;NO;0;0;G;X;Q;J;N
15;0;1;updating;0;0;NO;0;0;G;X;Q;J;N
15;5;2;recall;1;0;G;0;0;G;X;Q;J;N
15;5;2;recall;2;1;X;0;0;G;X;Q;J;N
15;5;2;recall;3;2;Q;0;0;G;X;Q;J;N
15;5;2;recall;4;3;J;0;0;G;X;Q;J;N
15;5;2;recall;5;4;N;0;0;G;X;Q;J;N
16;5;0;encoding;5;0;NO;0;0;P;T;Z;G;V
16;9;1;updating;1;2;Q;1;0;P;T;Q;G;V
16;9;1;updating;2;3;S;1;0;P;T;Q;S;V
16;9;1;updating;3;4;V;0;1;P;T;Q;S;V
16;9;1;updating;4;3;N;2;0;P;T;Q;N;V
16;9;1;updating;5;0;W;1;0;W;T;Q;N;V
16;9;1;updating;6;2;M;2;0;W;T;M;N;V
16;9;1;updating;7;1;R;1;0;W;R;M;N;V
16;9;1;updating;8;2;M;2;1;W;R;M;N;V
16;9;1;updating;9;3;K;3;0;W;R;M;K;V
16;5;2;recall;1;0;W;1;0;W;R;M;K;V
16;5;2;recall;2;1;R;1;0;W;R;M;K;V
16;5;2;recall;3;2;M;2;1;W;R;M;K;V
16;5;2;recall;4;3;K;3;0;W;R;M;K;V
16;5;2;recall;5;4;V;0;1;W;R;M;K;V
17;5;0;encoding;5;0;NO;0;0;C;N;L;S;H
17;9;1;updating;1;2;F;1;0;C;N;F;S;H
17;9;1;updating;2;4;P;1;0;C;N;F;S;P
17;9;1;updating;3;0;V;1;0;V;N;F;S;P
17;9;1;updating;4;4;K;2;0;V;N;F;S;K
17;9;1;updating;5;2;R;2;0;V;N;R;S;K
17;9;1;updating;6;0;B;2;0;B;N;R;S;K
17;9;1;updating;7;1;N;0;1;B;N;R;S;K
17;9;1;updating;8;4;Z;3;0;B;N;R;S;Z
17;9;1;updating;9;3;S;0;1;B;N;R;S;Z
17;5;2;recall;1;0;B;2;0;B;N;R;S;Z
17;5;2;recall;2;1;N;0;1;B;N;R;S;Z
17;5;2;recall;3;2;R;2;0;B;N;R;S;Z
17;5;2;recall;4;3;S;0;1;B;N;R;S;Z
17;5;2;recall;5;4;Z;3;0;B;N;R;S;Z
18;5;0;encoding;5;0;NO;0;0;G;R;P;S;V
18;9;1;updating;1;3;L;1;0;G;R;P;L;V
18;9;1;updating;2;2;X;1;0;G;R;X;L;V
18;9;1;updating;3;1;D;1;0;G;D;X;L;V
18;9;1;updating;4;3;P;2;0;G;D;X;P;V
18;9;1;updating;5;1;H;2;0;G;H;X;P;V
18;9;1;updating;6;4;Z;1;0;G;H;X;P;Z
18;9;1;updating;7;3;F;3;0;G;H;X;F;Z
18;9;1;updating;8;4;C;2;0;G;H;X;F;C
18;9;1;updating;9;1;N;3;0;G;N;X;F;C
18;5;2;recall;1;0;G;0;0;G;N;X;F;C
18;5;2;recall;2;1;N;3;0;G;N;X;F;C
18;5;2;recall;3;2;X;1;0;G;N;X;F;C
18;5;2;recall;4;3;F;3;0;G;N;X;F;C
18;5;2;recall;5;4;C;2;0;G;N;X;F;C
19;5;0;encoding;5;0;NO;0;0;D;R;Z;S;T
19;0;1;updating;0;0;NO;0;0;D;R;Z;S;T
19;5;2;recall;1;0;D;0;0;D;R;Z;S;T
19;5;2;recall;2;1;R;0;0;D;R;Z;S;T
19;5;2;recall;3;2;Z;0;0;D;R;Z;S;T
19;5;2;recall;4;3;S;0;0;D;R;Z;S;T
19;5;2;recall;5;4;T;0;0;D;R;Z;S;T
20;5;0;encoding;5;0;NO;0;0;T;M;N;B;P
20;9;1;updating;1;3;X;1;0;T;M;N;X;P
20;9;1;updating;2;4;J;1;0;T;M;N;X;J
20;9;1;updating;3;0;K;1;0;K;M;N;X;J
20;9;1;updating;4;3;Z;2;0;K;M;N;Z;J
20;9;1;updating;5;0;G;2;0;G;M;N;Z;J
20;9;1;updating;6;2;P;1;0;G;M;P;Z;J
20;9;1;updating;7;3;D;3;0;G;M;P;D;J
20;9;1;updating;8;0;Q;3;0;Q;M;P;D;J
20;9;1;updating;9;2;H;2;0;Q;M;H;D;J
20;5;2;recall;1;0;Q;3;0;Q;M;H;D;J
20;5;2;recall;2;1;M;0;0;Q;M;H;D;J
20;5;2;recall;3;2;H;2;0;Q;M;H;D;J
20;5;2;recall;4;3;D;3;0;Q;M;H;D;J
20;5;2;recall;5;4;J;1;0;Q;M;H;D;J
21;5;0;encoding;5;0;NO;0;0;F;R;J;H;L
21;9;1;updating;1;1;B;1;0;F;B;J;H;L
21;9;1;updating;2;0;S;1;0;S;B;J;H;L
21;9;1;updating;3;3;V;1;0;S;B;J;V;L
21;9;1;updating;4;4;Q;1;0;S;B;J;V;Q
21;9;1;updating;5;1;Z;2;0;S;Z;J;V;Q
21;9;1;updating;6;4;M;2;0;S;Z;J;V;M
21;9;1;updating;7;0;G;2;0;G;Z;J;V;M
21;9;1;updating;8;2;J;0;1;G;Z;J;V;M
21;9;1;updating;9;4;T;3;0;G;Z;J;V;T
21;5;2;recall;1;0;G;2;0;G;Z;J;V;T
21;5;2;recall;2;1;Z;2;0;G;Z;J;V;T
21;5;2;recall;3;2;J;0;1;G;Z;J;V;T
21;5;2;recall;4;3;V;1;0;G;Z;J;V;T
21;5;2;recall;5;4;T;3;0;G;Z;J;V;T
22;5;0;encoding;5;0;NO;0;0;P;L;Z;N;K
22;9;1;updating;1;2;F;1;0;P;L;F;N;K
22;9;1;updating;2;1;D;1;0;P;D;F;N;K
22;9;1;updating;3;0;G;1;0;G;D;F;N;K
22;9;1;updating;4;1;H;2;0;G;H;F;N;K
22;9;1;updating;5;2;N;2;0;G;H;N;N;K
22;9;1;updating;6;3;C;1;0;G;H;N;C;K
22;9;1;updating;7;1;T;3;0;G;T;N;C;K
22;9;1;updating;8;2;R;3;0;G;T;R;C;K
22;9;1;updating;9;4;K;0;1;G;T;R;C;K
22;5;2;recall;1;0;G;1;0;G;T;R;C;K
22;5;2;recall;2;1;T;3;0;G;T;R;C;K
22;5;2;recall;3;2;R;3;0;G;T;R;C;K
22;5;2;recall;4;3;C;1;0;G;T;R;C;K
22;5;2;recall;5;4;K;0;1;G;T;R;C;K
23;5;0;encoding;5;0;NO;0;0;P;B;W;V;H
23;0;1;updating;0;0;NO;0;0;P;B;W;V;H
23;5;2;recall;1;0;P;0;1;P;B;W;V;H
23;5;2;recall;2;1;B;0;0;P;B;W;V;H
23;5;2;recall;3;2;W;0;1;P;B;W;V;H
23;5;2;recall;4;3;V;0;1;P;B;W;V;H
23;5;2;recall;5;4;H;0;1;P;B;W;V;H
24;5;0;encoding;5;0;NO;0;0;J;F;L;P;S
24;9;1;updating;1;2;L;0;1;J;F;L;P;S
24;9;1;updating;2;4;J;1;0;J;F;L;P;J
24;9;1;updating;3;3;T;1;0;J;F;L;T;J
24;9;1;updating;4;1;Z;1;0;J;Z;L;T;J
24;9;1;updating;5;4;Q;2;0;J;Z;L;T;Q
24;9;1;updating;6;3;T;1;1;J;Z;L;T;Q
24;9;1;updating;7;0;J;0;1;J;Z;L;T;Q
24;9;1;updating;8;4;Q;2;1;J;Z;L;T;Q
24;9;1;updating;9;3;S;2;1;J;Z;L;S;Q
24;5;2;recall;1;0;J;0;1;J;Z;L;S;Q
24;5;2;recall;2;1;Z;1;0;J;Z;L;S;Q
24;5;2;recall;3;2;L;0;1;J;Z;L;S;Q
24;5;2;recall;4;3;S;2;1;J;Z;L;S;Q
24;5;2;recall;5;4;Q;2;1;J;Z;L;S;Q
25;5;0;encoding;5;0;NO;0;0;J;W;Z;Q;B
25;9;1;updating;1;1;L;1;0;J;L;Z;Q;B
25;9;1;updating;2;0;N;1;0;N;L;Z;Q;B
25;9;1;updating;3;2;M;1;0;N;L;M;Q;B
25;9;1;updating;4;4;B;0;1;N;L;M;Q;B
25;9;1;updating;5;0;V;2;0;V;L;M;Q;B
25;9;1;updating;6;3;J;1;0;V;L;M;J;B
25;9;1;updating;7;1;P;2;0;V;P;M;J;B
25;9;1;updating;8;0;X;3;0;X;P;M;J;B
25;9;1;updating;9;3;D;2;0;X;P;M;D;B
25;5;2;recall;1;0;X;3;0;X;P;M;D;B
25;5;2;recall;2;1;P;2;0;X;P;M;D;B
25;5;2;recall;3;2;M;1;0;X;P;M;D;B
25;5;2;recall;4;3;D;2;0;X;P;M;D;B
25;5;2;recall;5;4;B;0;1;X;P;M;D;B
